id;name;description;date_created;date_started;status
1;systemic;compressing magenta Belize;2020-04-25T23:57:53;2020-04-26T02:20:43;NEW
2;Versatile generate open-source;Portugal mint green Multi-tiered;2020-04-25T20:10:56;2020-04-25T21:13:59;ACTIVE
3;protocol;software Granite encryption;2020-04-26T01:26:44;2020-04-26T00:36:08;CLOSED
4;Jewelery invoice Unbranded Rubber Bike;Investment Account ROI;2020-04-26T02:36:59;2020-04-26T05:02:35;ACTIVE
5;orchestration input Garden;Optional SSL;2020-04-26T13:15:23;2020-04-26T00:32:22;CLOSED
6;proactive Public-key;Syrian Arab Republic Personal Loan Account Savings Account;2020-04-25T20:02:59;2020-04-26T02:26:47;NEW
7;Kroon;Tactics;2020-04-26T07:06:17;2020-04-26T13:18:20;CLOSED
8;Bedfordshire website;Industrial;2020-04-26T15:41:09;2020-04-26T16:23:15;CLOSED
9;facilitate Designer Computer;feed;2020-04-26T14:24:09;2020-04-26T16:52:40;CLOSED
10;synergize Intelligent;framework Fresh;2020-04-26T01:16:17;2020-04-26T04:00:20;NEW
