GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
Construction,com.truesoft.construction.domain,Offer,72,45,11,1,13,16,10,8,4,8
Construction,com.truesoft.construction.domain,ConstructionSiteWork_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,ConstructionWorkCompositeId,57,54,20,2,18,17,12,7,1,7
Construction,com.truesoft.construction.domain,Issuer_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,Bidder,56,9,8,0,15,3,10,3,6,3
Construction,com.truesoft.construction.domain,ConstructionSite_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,Tender_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,Work,28,12,0,0,4,5,3,2,3,2
Construction,com.truesoft.construction.domain,ConstructionSiteWork,6,28,0,0,2,11,2,5,2,5
Construction,com.truesoft.construction.domain,Issuer,56,9,8,0,15,3,10,3,6,3
Construction,com.truesoft.construction.domain,Work_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,Tender,63,49,8,0,9,19,7,10,3,10
Construction,com.truesoft.construction.domain,ConstructionSite,22,18,0,0,2,7,1,4,1,4
Construction,com.truesoft.construction.domain,Bidder_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction.domain,Offer_,3,0,0,0,1,0,1,0,1,0
Construction,com.truesoft.construction,ConstructionApp,102,32,8,4,23,8,8,3,2,3
Construction,com.truesoft.construction,ApplicationWebXml,15,0,0,0,3,0,2,0,2,0
Construction,com.truesoft.construction.web.rest,TenderResource,190,199,7,5,21,40,11,6,6,5
Construction,com.truesoft.construction.web.rest,ConstructionSiteResource,31,122,2,2,2,24,3,4,1,4
Construction,com.truesoft.construction.web.rest,WorkResource,39,13,0,0,5,5,1,1,1,1
Construction,com.truesoft.construction.config,DatabaseConfiguration,46,10,2,0,11,4,2,1,1,1
Construction,com.truesoft.construction.config,LiquibaseConfiguration,4,91,1,1,1,21,1,2,0,2
Construction,com.truesoft.construction.config,JacksonConfiguration,0,27,0,0,0,7,0,7,0,7
Construction,com.truesoft.construction.config,WebConfigurer,18,49,4,2,4,13,4,2,1,2
Construction,com.truesoft.construction.config,AsyncConfiguration,4,46,0,0,1,11,1,2,1,2
Construction,com.truesoft.construction.config,ApplicationProperties,0,3,0,0,0,1,0,1,0,1
Construction,com.truesoft.construction.web.rest.dto,ConstructionSiteWorkCreateDTO,0,27,0,0,0,5,0,4,0,4
Construction,com.truesoft.construction.web.rest.dto,TenderCreateDTO,0,58,0,0,0,14,0,10,0,10
Construction,com.truesoft.construction.web.rest.dto,UIRequestBidder,0,10,0,0,0,4,0,3,0,3
Construction,com.truesoft.construction.web.rest.dto,ConstructionSiteCreateDTO,0,39,0,0,0,8,0,6,0,6
Construction,com.truesoft.construction.web.rest.dto,WorkCreateDTO,17,0,0,0,7,0,5,0,5,0
Construction,com.truesoft.construction.web.rest.dto,OfferDTO,0,17,0,0,0,7,0,5,0,5
Construction,com.truesoft.construction.web.rest.dto,UIRequestIssuer,0,10,0,0,0,4,0,3,0,3
Construction,com.truesoft.construction.domain.enumeration,TenderOfferStatus,0,34,0,0,0,2,0,1,0,1
Construction,com.truesoft.construction.domain.enumeration,TenderStatus,0,34,0,0,0,2,0,1,0,1
Construction,com.truesoft.construction.domain.enumeration,ConstructionSiteWorkStatus,0,44,0,0,0,2,0,1,0,1
Construction,com.truesoft.construction.service,TenderService,7,50,1,3,2,13,1,3,0,2
Construction,com.truesoft.construction.service,AuthServiceStub,28,27,0,0,0,8,2,3,2,3
